Inputs:
n: 100
m: 5
p: 5
k: 20

Generation	T4T%	G%	AC%	AD%	T4T Payoff	G Payoff	AC Payoff	AD Payoff	T4T Avg Payoff	G Avg Payoff	AC Avg Payoff	AD Avg Payoff	Total Payoff
1	25	25	25	25	30250	30250	27750	29875	30250.0	30250.0	27750.0	29875.0	118125	
2	27	28	20	25	32670	33880	22200	27875	32670.0	33880.0	22200.0	27875.0	116625	
3	30	30	15	25	36300	36300	16650	25875	36300.0	36300.0	16650.0	25875.0	115125	
4	31	34	15	20	39215	43010	17775	21100	39215.0	43010.0	17775.0	21100.0	121100	
5	33	37	15	15	43560	48840	18900	16125	43560.0	48840.0	18900.0	16125.0	127425	
6	35	40	15	10	48125	55000	20025	10950	48125.0	55000.0	20025.0	10950.0	134100	
7	38	42	15	5	54340	60060	21150	5575	54340.0	60060.0	21150.0	5575.0	141125	
8	38	47	15	0	56430	69795	22275	0	56430.0	69795.0	22275.0	0.0	148500	
9	37	47	16	0	54945	69795	23760	0	54945.0	69795.0	23760.0	0.0	148500	
10	38	45	17	0	56430	66825	25245	0	56430.0	66825.0	25245.0	0.0	148500	
11	40	41	19	0	59400	60885	28215	0	59400.0	60885.0	28215.0	0.0	148500	
12	40	41	19	0	59400	60885	28215	0	59400.0	60885.0	28215.0	0.0	148500	
13	41	39	20	0	60885	57915	29700	0	60885.0	57915.0	29700.0	0.0	148500	
14	41	41	18	0	60885	60885	26730	0	60885.0	60885.0	26730.0	0.0	148500	
15	40	41	19	0	59400	60885	28215	0	59400.0	60885.0	28215.0	0.0	148500	
16	42	39	19	0	62370	57915	28215	0	62370.0	57915.0	28215.0	0.0	148500	
17	41	39	20	0	60885	57915	29700	0	60885.0	57915.0	29700.0	0.0	148500	
18	40	39	21	0	59400	57915	31185	0	59400.0	57915.0	31185.0	0.0	148500	
19	39	39	22	0	57915	57915	32670	0	57915.0	57915.0	32670.0	0.0	148500	
20	36	41	23	0	53460	60885	34155	0	53460.0	60885.0	34155.0	0.0	148500	
