Inputs:
n: 100
m: 5
p: 5
k: 20

Generation	T4T%	G%	AC%	AD%	T4T Payoff	G Payoff	AC Payoff	AD Payoff	T4T Avg Payoff	G Avg Payoff	AC Avg Payoff	AD Avg Payoff	Total Payoff
1	10	10	0	80	6050	6050	0	46000	605.0	605.0	0.0	575.0	58100	
2	12	13	0	75	7920	8580	0	44625	660.0	660.0	0.0	595.0	61125	
3	15	15	0	70	10725	10725	0	43050	715.0	715.0	0.0	615.0	64500	
4	18	17	0	65	13860	13090	0	41275	770.0	770.0	0.0	635.0	68225	
5	20	20	0	60	16500	16500	0	39300	825.0	825.0	0.0	655.0	72300	
6	24	21	0	55	21120	18480	0	37125	880.0	880.0	0.0	675.0	76725	
7	27	23	0	50	25245	21505	0	34750	935.0	935.0	0.0	695.0	81500	
8	28	26	0	45	28710	25740	0	32175	990.0	990.0	0.0	715.0	86625	
9	32	28	0	40	33440	29260	0	29400	1045.0	1045.0	0.0	735.0	92100	
10	34	31	0	35	37400	34100	0	26425	1100.0	1100.0	0.0	755.0	97925	
11	37	33	0	30	42735	38115	0	23250	1155.0	1155.0	0.0	775.0	104100	
12	40	35	0	25	48400	42350	0	19875	1210.0	1210.0	0.0	795.0	110625	
13	43	37	0	20	54395	46805	0	16300	1265.0	1265.0	0.0	815.0	117500	
14	46	39	0	15	60720	51480	0	12525	1320.0	1320.0	0.0	835.0	124725	
15	48	42	0	10	66000	57750	0	8550	1375.0	1375.0	0.0	855.0	132300	
16	50	45	0	5	71500	64350	0	4375	1430.0	1430.0	0.0	875.0	140225	
17	53	47	0	0	78705	69795	0	0	1485.0	1485.0	0.0	0.0	148500	
18	53	47	0	0	78705	69795	0	0	1485.0	1485.0	0.0	0.0	148500	
19	53	47	0	0	78705	69795	0	0	1485.0	1485.0	0.0	0.0	148500	
20	53	47	0	0	78705	69795	0	0	1485.0	1485.0	0.0	0.0	148500	
