Inputs:
n: 100
m: 5
p: 10
k: 20

Generation	T4T%	G%	AC%	AD%	T4T Payoff	G Payoff	AC Payoff	AD Payoff	T4T Avg Payoff	G Avg Payoff	AC Avg Payoff	AD Avg Payoff	Total Payoff
1	25	25	25	25	30250	30250	27750	29875	30250.0	30250.0	27750.0	29875.0	118125	
2	27	33	15	25	32670	39930	16650	25875	32670.0	39930.0	16650.0	25875.0	115125	
3	31	39	15	15	40920	51480	18900	16125	40920.0	51480.0	18900.0	16125.0	127425	
4	34	46	15	5	48620	65780	21150	5575	48620.0	65780.0	21150.0	5575.0	141125	
5	40	50	10	0	59400	74250	14850	0	59400.0	74250.0	14850.0	0.0	148500	
6	45	47	8	0	66825	69795	11880	0	66825.0	69795.0	11880.0	0.0	148500	
7	47	43	10	0	69795	63855	14850	0	69795.0	63855.0	14850.0	0.0	148500	
8	45	45	10	0	66825	66825	14850	0	66825.0	66825.0	14850.0	0.0	148500	
9	47	45	8	0	69795	66825	11880	0	69795.0	66825.0	11880.0	0.0	148500	
10	47	46	7	0	69795	68310	10395	0	69795.0	68310.0	10395.0	0.0	148500	
11	48	46	6	0	71280	68310	8910	0	71280.0	68310.0	8910.0	0.0	148500	
12	51	43	6	0	75735	63855	8910	0	75735.0	63855.0	8910.0	0.0	148500	
13	48	46	6	0	71280	68310	8910	0	71280.0	68310.0	8910.0	0.0	148500	
14	49	44	7	0	72765	65340	10395	0	72765.0	65340.0	10395.0	0.0	148500	
15	47	47	6	0	69795	69795	8910	0	69795.0	69795.0	8910.0	0.0	148500	
16	44	52	4	0	65340	77220	5940	0	65340.0	77220.0	5940.0	0.0	148500	
17	45	52	3	0	66825	77220	4455	0	66825.0	77220.0	4455.0	0.0	148500	
18	42	55	3	0	62370	81675	4455	0	62370.0	81675.0	4455.0	0.0	148500	
19	44	53	3	0	65340	78705	4455	0	65340.0	78705.0	4455.0	0.0	148500	
20	46	52	2	0	68310	77220	2970	0	68310.0	77220.0	2970.0	0.0	148500	
