Inputs:
n: 100
m: 5
p: 15
k: 20

Generation	T4T%	G%	AC%	AD%	T4T Payoff	G Payoff	AC Payoff	AD Payoff	T4T Avg Payoff	G Avg Payoff	AC Avg Payoff	AD Avg Payoff	Total Payoff
1	25	25	25	25	30250	30250	27750	29875	1210.0	1210.0	1110.0	1195.0	118125	
2	34	31	10	25	41140	37510	11100	23875	1210.0	1210.0	1110.0	955.0	113625	
3	40	40	10	10	55000	55000	13350	10150	1375.0	1375.0	1335.0	1015.0	133500	
4	48	47	5	0	71280	69795	7425	0	1485.0	1485.0	1485.0	0.0	148500	
5	49	48	3	0	72765	71280	4455	0	1485.0	1485.0	1485.0	0.0	148500	
6	51	46	3	0	75735	68310	4455	0	1485.0	1485.0	1485.0	0.0	148500	
7	51	46	3	0	75735	68310	4455	0	1485.0	1485.0	1485.0	0.0	148500	
8	50	46	4	0	74250	68310	5940	0	1485.0	1485.0	1485.0	0.0	148500	
9	48	48	4	0	71280	71280	5940	0	1485.0	1485.0	1485.0	0.0	148500	
10	47	49	4	0	69795	72765	5940	0	1485.0	1485.0	1485.0	0.0	148500	
11	47	49	4	0	69795	72765	5940	0	1485.0	1485.0	1485.0	0.0	148500	
12	53	44	3	0	78705	65340	4455	0	1485.0	1485.0	1485.0	0.0	148500	
13	52	46	2	0	77220	68310	2970	0	1485.0	1485.0	1485.0	0.0	148500	
14	54	43	3	0	80190	63855	4455	0	1485.0	1485.0	1485.0	0.0	148500	
15	49	47	4	0	72765	69795	5940	0	1485.0	1485.0	1485.0	0.0	148500	
16	46	50	4	0	68310	74250	5940	0	1485.0	1485.0	1485.0	0.0	148500	
17	50	46	4	0	74250	68310	5940	0	1485.0	1485.0	1485.0	0.0	148500	
18	47	46	7	0	69795	68310	10395	0	1485.0	1485.0	1485.0	0.0	148500	
19	46	48	6	0	68310	71280	8910	0	1485.0	1485.0	1485.0	0.0	148500	
20	44	48	8	0	65340	71280	11880	0	1485.0	1485.0	1485.0	0.0	148500	
