Inputs:
n: 100
m: 5
p: 25
k: 20

Generation	T4T%	G%	AC%	AD%	T4T Payoff	G Payoff	AC Payoff	AD Payoff	T4T Avg Payoff	G Avg Payoff	AC Avg Payoff	AD Avg Payoff	Total Payoff
1	25	25	25	25	30250	30250	27750	29875	30250.0	30250.0	27750.0	29875.0	118125	
2	37	38	0	25	44770	45980	0	19875	44770.0	45980.0	0.0	19875.0	110625	
3	46	54	0	0	68310	80190	0	0	68310.0	80190.0	0.0	0.0	148500	
4	48	52	0	0	71280	77220	0	0	71280.0	77220.0	0.0	0.0	148500	
5	54	46	0	0	80190	68310	0	0	80190.0	68310.0	0.0	0.0	148500	
6	55	45	0	0	81675	66825	0	0	81675.0	66825.0	0.0	0.0	148500	
7	45	55	0	0	66825	81675	0	0	66825.0	81675.0	0.0	0.0	148500	
8	45	55	0	0	66825	81675	0	0	66825.0	81675.0	0.0	0.0	148500	
9	49	51	0	0	72765	75735	0	0	72765.0	75735.0	0.0	0.0	148500	
10	53	47	0	0	78705	69795	0	0	78705.0	69795.0	0.0	0.0	148500	
11	56	43	0	0	84645	63855	0	0	84645.0	63855.0	0.0	0.0	148500	
12	60	40	0	0	89100	59400	0	0	89100.0	59400.0	0.0	0.0	148500	
13	62	38	0	0	92070	56430	0	0	92070.0	56430.0	0.0	0.0	148500	
14	59	41	0	0	87615	60885	0	0	87615.0	60885.0	0.0	0.0	148500	
15	52	48	0	0	77220	71280	0	0	77220.0	71280.0	0.0	0.0	148500	
16	52	48	0	0	77220	71280	0	0	77220.0	71280.0	0.0	0.0	148500	
17	54	46	0	0	80190	68310	0	0	80190.0	68310.0	0.0	0.0	148500	
18	51	49	0	0	75735	72765	0	0	75735.0	72765.0	0.0	0.0	148500	
19	50	50	0	0	74250	74250	0	0	74250.0	74250.0	0.0	0.0	148500	
20	52	48	0	0	77220	71280	0	0	77220.0	71280.0	0.0	0.0	148500	
