Inputs:
n: 100
m: 5
p: 30
k: 20

Generation	T4T%	G%	AC%	AD%	T4T Payoff	G Payoff	AC Payoff	AD Payoff	T4T Avg Payoff	G Avg Payoff	AC Avg Payoff	AD Avg Payoff	Total Payoff
1	25	25	25	25	30250	30250	27750	29875	1210.0	1210.0	1110.0	1195.0	118125	
2	40	40	0	20	50600	50600	0	16300	1265.0	1265.0	0.0	815.0	117500	
3	51	49	0	0	75735	72765	0	0	1485.0	1485.0	0.0	0.0	148500	
4	56	44	0	0	83160	65340	0	0	1485.0	1485.0	0.0	0.0	148500	
5	56	43	0	0	84645	63855	0	0	1485.0	1485.0	0.0	0.0	148500	
6	56	43	0	0	84645	63855	0	0	1485.0	1485.0	0.0	0.0	148500	
7	54	46	0	0	80190	68310	0	0	1485.0	1485.0	0.0	0.0	148500	
8	52	48	0	0	77220	71280	0	0	1485.0	1485.0	0.0	0.0	148500	
9	51	49	0	0	75735	72765	0	0	1485.0	1485.0	0.0	0.0	148500	
10	49	51	0	0	72765	75735	0	0	1485.0	1485.0	0.0	0.0	148500	
11	48	52	0	0	71280	77220	0	0	1485.0	1485.0	0.0	0.0	148500	
12	51	49	0	0	75735	72765	0	0	1485.0	1485.0	0.0	0.0	148500	
13	48	52	0	0	71280	77220	0	0	1485.0	1485.0	0.0	0.0	148500	
14	47	53	0	0	69795	78705	0	0	1485.0	1485.0	0.0	0.0	148500	
15	54	46	0	0	80190	68310	0	0	1485.0	1485.0	0.0	0.0	148500	
16	55	45	0	0	81675	66825	0	0	1485.0	1485.0	0.0	0.0	148500	
17	56	44	0	0	83160	65340	0	0	1485.0	1485.0	0.0	0.0	148500	
18	53	47	0	0	78705	69795	0	0	1485.0	1485.0	0.0	0.0	148500	
19	47	53	0	0	69795	78705	0	0	1485.0	1485.0	0.0	0.0	148500	
20	40	60	0	0	59400	89100	0	0	1485.0	1485.0	0.0	0.0	148500	
